Usuario|comentario|tipo emocion
Bryan|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|enojado
Danielle|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|enojado
Shelby|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|enojado
David|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|alegre
Jake|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|alegre
Carlos|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|pensativo
Erica|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|me gusta
James|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|alegre
Jared|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|enojado
Linda|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|alegre
Lauren|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|alegre
Jeremiah|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|enojado
Zachary|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|enojado
Amanda|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|no me gusta
Hunter|Phil Foden del Liverpool dejó todo en la cancha en un encuentro tenso.|pensativo
Shelley|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Robert|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Norma|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Ryan|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Gabriella|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Justin|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Nicole|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Abigail|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Gina|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Omar|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Mark|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Chad|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Kyle|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Dylan|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Wendy|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Kayla|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Judith|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Reginald|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Kenneth|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Anthony|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Michael|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Stanley|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Julie|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Adriana|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Benjamin|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Nicholas|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Jesse|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Troy|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
April|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Charles|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Joan|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Jessica|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Craig|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Megan|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Amy|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Molly|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Sheryl|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Caroline|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Joshua|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Jay|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Julian|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Keith|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Sally|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Barbara|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Melissa|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Katelyn|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Jerry|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Sandra|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Emily|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Brad|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Tracy|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
William|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Chloe|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
John|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Katrina|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Karen|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Mary|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Thomas|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Kathryn|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Dustin|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Kimberly|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Austin|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Laura|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Kristen|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Anna|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Heather|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Jennifer|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Larry|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Brittany|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Deanna|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Brian|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Christina|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Crystal|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Samuel|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Natalie|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Richard|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Andrea|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Heidi|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Steven|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Elizabeth|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Theresa|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Jacob|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Kelly|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Tina|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Jeffrey|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Bryan|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Danielle|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Shelby|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
David|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Jake|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Carlos|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Erica|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
James|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Jared|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|me gusta
Linda|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Lauren|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Jeremiah|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|no me gusta
Zachary|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|enojado
Amanda|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|pensativo
Hunter|Marcus Rashford del Manchester United dejó todo en la cancha en el clásico.|alegre
Shelley|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Robert|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Norma|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Ryan|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Gabriella|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Justin|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Nicole|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Abigail|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Gina|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Omar|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Mark|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Chad|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Kyle|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Dylan|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Wendy|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Kayla|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Judith|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Reginald|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Kenneth|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Anthony|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Michael|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Stanley|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Julie|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Adriana|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Benjamin|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Nicholas|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Jesse|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Troy|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
April|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Charles|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Joan|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Jessica|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Craig|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Megan|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Amy|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Molly|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Sheryl|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Caroline|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Joshua|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Jay|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Julian|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Keith|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Sally|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Barbara|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Melissa|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Katelyn|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Jerry|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Sandra|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Emily|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Brad|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Tracy|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
William|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Chloe|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
John|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Katrina|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Karen|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Mary|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Thomas|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Kathryn|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Dustin|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Kimberly|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Austin|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Laura|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Kristen|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Anna|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Heather|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Jennifer|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Larry|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Brittany|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Deanna|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Brian|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Christina|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Crystal|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Samuel|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Natalie|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Richard|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Andrea|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Heidi|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Steven|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Elizabeth|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Theresa|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Jacob|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Kelly|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Tina|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Jeffrey|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Bryan|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Danielle|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Shelby|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
David|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Jake|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Carlos|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|enojado
Erica|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
James|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Jared|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Linda|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|pensativo
Lauren|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Jeremiah|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|alegre
Zachary|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Amanda|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|me gusta
Hunter|Mohamed Salah del Arsenal dio una asistencia brillante en un partido histórico.|no me gusta
Shelley|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Robert|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Norma|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Ryan|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Gabriella|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Justin|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Nicole|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Abigail|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Gina|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Omar|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Mark|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Chad|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Kyle|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Dylan|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Wendy|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Kayla|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Judith|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Reginald|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Kenneth|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Anthony|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Michael|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Stanley|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Julie|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Adriana|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Benjamin|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Nicholas|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Jesse|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Troy|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
April|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Charles|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Joan|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Jessica|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Craig|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Megan|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Amy|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Molly|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Sheryl|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Caroline|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Joshua|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Jay|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Julian|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Keith|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Sally|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Barbara|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Melissa|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Katelyn|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Jerry|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Sandra|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Emily|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Brad|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Tracy|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
William|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Chloe|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
John|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Katrina|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Karen|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Mary|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Thomas|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Kathryn|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Dustin|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Kimberly|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Austin|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Laura|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Kristen|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Anna|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Heather|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Jennifer|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Larry|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Brittany|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Deanna|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Brian|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Christina|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Crystal|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Samuel|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Natalie|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Richard|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Andrea|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Heidi|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Steven|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Elizabeth|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Theresa|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Jacob|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Kelly|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Tina|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Jeffrey|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Bryan|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Danielle|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Shelby|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
David|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Jake|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Carlos|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Erica|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
James|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Jared|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Linda|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Lauren|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Jeremiah|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Zachary|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Amanda|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Hunter|Phil Foden del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Shelley|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.|me gusta
Robert|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.|no me gusta
Norma|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.|enojado
Ryan|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.|alegre
Gabriella|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.|pensativo
Justin|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.|alegre
Nicole|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.|no me gusta
Abigail|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.|pensativo
Gina|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.|pensativo
Omar|Harry Kane del Liverpool hizo una entrada polémica en el cierre de la liga.|no me gusta
